Genomes	arCOG Taxonomy	Public/Private	Completeness	Contamination	MAG Size (Mb)	Predicted MAG Size
D4998_C1112_H2_Bin_74	Thorarchaeia	Private	62.15	2.41	2.43155	3.352
QZM_A2_3_bin_3	Freyarchaeia	Public	88.01	3.74	3.882793	4.348
D4998_C1112_H3_Bin_205	Baldrarchaeia	Private	87.54	6.07	2.418825	2.72
D4998_C1112_H3_Bin_254	Njordarchaeales	Private	89.25	1.4	1.984764	2.198
D4998_C1112_H3_Bin_265	Asgardarchaeia	Private	79.22	0.47	1.06038	1.281
QZM_A2_bin_5	Freyarchaeia	Public	95.79	4.21	4.080134	4.252
QZM_A3_bin_5	Freyarchaeia	Public	96.73	4.21	4.275856	4.416
D4998_C1112_H3_Bin_60	Baldrarchaeia	Private	93.93	4.67	2.71843	2.883
D4998_C1112_H3_Bin_96	Njordarchaeales	Private	89.25	2.88	1.879357	2.081
D4998_C2223_H1_Bin_197_clean	Lokiarchaeales	Private	74.69	4.28	2.960344	3.71
D4998_C2223_H1_Bin_209	Lokiarchaeales	Private	61.25	1.87	2.239207	3.107
D4998_C2223_H2_Bin_129_clean	Lokiarchaeales	Private	74.45	2.88	2.928791	3.677
D4998_C2223_H2_Bin_162_clean	Heimdallarchaeaceae	Private	91.12	3.34	2.222293	2.42
RPD1	Freyarchaeia	Public	62.28	2.8	1.724101	2.374
D4998_C2223_H2_Bin_280	Thorarchaeia	Private	77.1	1.87	1.735078	2.132
D4998_C2223_H2_Bin_321	Gerdarchaeales	Private	55.08	1.87	1.461009	2.117
D4998_C2223_H2_Bin_358	Thorarchaeia	Private	59.49	9.35	2.09544	2.944
D4998_C2223_H2_Bin_384	Lokiarchaeales	Private	54.79	1.87	1.75657	2.551
E29_bin63	Lokiarchaeales	Public	84.11	2.34	2.67211	3.097
E44_bin6	Thorarchaeia	Public	61.21	2.41	1.111453	1.543
E44_bin77	Thorarchaeia	Public	90.65	7.48	3.037225	3.321
E44_bin85	Lokiarchaeales	Public	75.7	2.8	3.073626	3.821
ex4484_83	Gerdarchaeales	Public	86.92	5.61	2.747454	3.107
FINAL_SR_VP_26_10_2019_2_100cm_Atabeya_2_FINAL	Atabeyarchaeia	Private	98.13	3.74	2.756679	2.808
GBS02	Baldrarchaeia	Public	85.06	4.91	2.708755	3.113
GBS03	Baldrarchaeia	Public	93.93	3.74	2.133597	2.263
GBS04	Baldrarchaeia	Public	89.25	3.74	2.882839	3.193
GBS27	Njordarchaeales	Public	79.13	1.01	1.550912	1.875
GCA_001940645_1_ASM194064v1	Hodarchaeales	Public	91.59	5.61	5.684038	6.162
GCA_001940655_1_ASM194065v1	Lokiarchaeales	Public	80.45	2.34	4.33417	5.182
GCA_001940665_1_ASM194066v1	Odinarchaeia	Public	96.26	1.4	1.46071	1.515
GCA_001940705_1_ASM194070v1	Thorarchaeia	Public	90.12	3.19	2.855654	3.138
